metric,pipeline,standardized,classifier,accuracy_mean,accuracy_std,precision_mean,recall_mean,auc_mean,runtime_s
AI,A,False,knn,0.9688,0.0087,0.9715,0.9689,0.9936,141.12
AI,A,False,logreg,0.9916,0.0059,0.9919,0.9914,0.9997,141.55
AI,A,False,svc,0.9975,0.0034,0.9977,0.9974,0.9999,158.11
AI,A,True,knn,0.9849,0.0073,0.9856,0.9849,0.9977,139.24
AI,A,True,logreg,0.9941,0.0057,0.9945,0.994,0.9998,145.46
AI,A,True,svc,0.9966,0.0049,0.9967,0.9966,1.0,169.46
AI,B,False,knn,0.9638,0.0078,0.9662,0.9638,0.9947,152.73
AI,B,False,logreg,0.9714,0.0171,0.9723,0.9713,0.9987,155.06
AI,B,False,svc,0.9874,0.006,0.9878,0.9874,0.9995,167.12
AI,B,True,knn,0.9806,0.0043,0.982,0.9806,0.9986,146.64
AI,B,True,logreg,0.9714,0.0187,0.9725,0.9715,0.9985,154.14
AI,B,True,svc,0.9899,0.0043,0.9906,0.9899,0.9999,163.39
AI,C,False,knn,0.92,0.018,0.9283,0.9202,0.957,382.5
AI,C,False,logreg,0.9293,0.0196,0.9363,0.9295,0.9795,452.17
AI,C,False,svc,0.9251,0.0197,0.9328,0.9253,0.9802,562.75
AI,C,True,knn,0.9587,0.0132,0.9615,0.9588,0.9773,391.98
AI,C,True,logreg,0.9579,0.0136,0.9611,0.958,0.9931,436.35
AI,C,True,svc,0.9587,0.0129,0.962,0.9588,0.9934,538.14
BW,A,False,knn,0.9781,0.0042,0.9794,0.978,0.9963,654.29
BW,A,False,logreg,0.9916,0.007,0.9919,0.9914,0.9998,653.56
BW,A,False,svc,0.9966,0.0031,0.9967,0.9966,1.0,676.68
BW,A,True,knn,0.9815,0.0073,0.9826,0.9815,0.9964,655.04
BW,A,True,logreg,0.9933,0.0043,0.9936,0.9931,0.9999,655.78
BW,A,True,svc,0.9966,0.0017,0.9967,0.9966,1.0,680.42
BW,B,False,knn,0.9689,0.0091,0.9708,0.9689,0.9953,654.58
BW,B,False,logreg,0.9646,0.0121,0.9662,0.9645,0.999,657.8
BW,B,False,svc,0.9899,0.0057,0.9903,0.9898,0.9998,671.21
BW,B,True,knn,0.9722,0.0043,0.9736,0.9723,0.994,657.38
BW,B,True,logreg,0.9705,0.0128,0.9715,0.9704,0.9991,642.99
BW,B,True,svc,0.9916,0.007,0.9918,0.9916,0.9996,654.41
BW,C,False,knn,0.9411,0.0116,0.9474,0.941,0.968,889.86
BW,C,False,logreg,0.9377,0.0097,0.9441,0.9376,0.9833,982.01
BW,C,False,svc,0.9385,0.0099,0.9442,0.9384,0.9841,1125.17
BW,C,True,knn,0.9478,0.0126,0.9545,0.948,0.9713,899.44
BW,C,True,logreg,0.947,0.0123,0.9541,0.9471,0.9857,987.92
BW,C,True,svc,0.9478,0.0126,0.9542,0.948,0.9883,1133.33
LOGE,A,False,knn,0.995,0.0031,0.9951,0.995,0.9991,4.71
LOGE,A,False,logreg,0.9983,0.0021,0.9984,0.9983,1.0,4.17
LOGE,A,False,svc,0.9983,0.0034,0.9984,0.9983,1.0,20.92
LOGE,A,True,knn,0.9924,0.0031,0.9927,0.9924,0.9991,3.45
LOGE,A,True,logreg,0.9992,0.0017,0.9992,0.9991,1.0,3.54
LOGE,A,True,svc,0.9992,0.0017,0.9992,0.9991,1.0,30.02
LOGE,B,False,knn,0.995,0.0031,0.9953,0.995,0.9986,4.6
LOGE,B,False,logreg,0.9966,0.0032,0.9968,0.9966,1.0,4.84
LOGE,B,False,svc,0.9975,0.0021,0.9976,0.9974,1.0,15.63
LOGE,B,True,knn,0.9907,0.0062,0.9912,0.9906,0.9986,4.7
LOGE,B,True,logreg,0.9941,0.0063,0.9945,0.994,1.0,6.92
LOGE,B,True,svc,0.9983,0.0021,0.9984,0.9983,1.0,16.03
LOGE,C,False,knn,0.9874,0.0065,0.9881,0.9874,0.9931,236.08
LOGE,C,False,logreg,0.9874,0.0065,0.9881,0.9874,0.9965,301.42
LOGE,C,False,svc,0.9874,0.0065,0.9881,0.9874,0.9961,393.48
LOGE,C,True,knn,0.9604,0.0152,0.9669,0.9604,0.9782,218.98
LOGE,C,True,logreg,0.9596,0.0159,0.9658,0.9595,0.9935,272.89
LOGE,C,True,svc,0.9604,0.0152,0.9669,0.9604,0.9928,363.47
